iter	Passed	Remaining
546	3160	2617
547	3172	2617
548	3178	2610
549	3186	2606
550	3208	2614
551	3219	2613
552	3222	2605
553	3225	2596
554	3231	2591
555	3238	2586
556	3243	2579
557	3256	2579
558	3274	2583
559	3277	2575
560	3281	2567
561	3312	2581
562	3314	2572
563	3315	2563
564	3318	2555
565	3321	2546
566	3330	2543
567	3339	2539
568	3343	2532
569	3355	2531
570	3358	2523
571	3371	2523
572	3375	2515
573	3384	2511
574	3389	2505
575	3392	2497
576	3401	2493
577	3407	2487
578	3414	2482
579	3421	2477
580	3429	2473
581	3433	2466
582	3441	2461
583	3448	2456
584	3451	2448
585	3454	2440
586	3468	2440
587	3473	2433
588	3476	2426
589	3479	2418
590	3482	2410
591	3485	2402
592	3490	2395
593	3496	2390
594	3502	2384
595	3509	2378
596	3511	2370
597	3514	2362
598	3523	2359
599	3528	2352
600	3531	2344
601	3537	2338
602	3541	2331
603	3561	2334
604	3576	2334
605	3579	2327
606	3592	2325
607	3594	2317
608	3596	2309
609	3600	2301
610	3602	2293
611	3604	2285
612	3607	2277
613	3619	2275
614	3623	2268
615	3629	2262
616	3632	2254
617	3635	2246
618	3654	2249
619	3658	2242
620	3664	2236
621	3668	2229
622	3690	2233
623	3714	2238
624	3746	2247
625	3775	2255
626	3780	2249
627	3792	2246
628	3802	2243
629	3808	2236
630	3818	2233
631	3823	2226
632	3830	2220
633	3834	2213
634	3837	2206
635	3866	2212
636	3871	2206
637	3901	2213
638	3904	2205
639	3912	2200
640	3915	2192
641	3937	2195
642	3945	2190
643	3952	2185
644	3966	2183
645	3976	2178
646	3986	2174
647	3997	2171
648	4002	2164
649	4018	2164
650	4029	2160
651	4035	2153
652	4060	2157
653	4066	2151
654	4087	2152
655	4091	2145
656	4095	2138
657	4105	2134
658	4118	2131
659	4122	2123
660	4149	2128
661	4155	2121
662	4157	2113
663	4172	2111
664	4175	2103
665	4181	2097
666	4189	2091
667	4198	2086
668	4201	2078
669	4203	2070
670	4206	2062
671	4211	2055
672	4214	2047
673	4217	2039
674	4220	2031
675	4222	2023
676	4233	2019
677	4236	2012
678	4239	2004
679	4251	2000
680	4257	1994
681	4265	1988
682	4275	1984
683	4277	1976
684	4283	1969
685	4293	1965
686	4305	1961
687	4308	1953
688	4312	1946
689	4325	1943
690	4362	1950
691	4365	1943
692	4386	1943
693	4393	1937
694	4412	1936
695	4427	1933
696	4443	1931
697	4447	1924
698	4450	1916
699	4476	1918
700	4486	1913
701	4505	1912
702	4509	1905
703	4576	1924
704	4593	1921
705	4602	1916
706	4609	1910
707	4621	1906
708	4628	1899
709	4637	1894
710	4639	1885
711	4642	1877
712	4645	1869
713	4651	1863
714	4653	1854
715	4655	1846
716	4657	1838
717	4660	1830
718	4663	1822
719	4666	1814
720	4668	1806
721	4676	1800
722	4700	1800
723	4708	1794
724	4712	1787
725	4750	1792
726	4777	1793
727	4780	1786
728	4783	1778
729	4787	1770
730	4793	1764
731	4801	1757
732	4958	1806
733	4961	1798
734	5000	1802
735	5009	1796
736	5014	1789
737	5032	1786
738	5048	1783
739	5061	1778
740	5078	1775
741	5115	1778
742	5140	1778
743	5153	1773
744	5159	1765
745	5164	1758
746	5167	1750
747	5169	1741
748	5171	1733
749	5177	1725
750	5181	1718
751	5221	1722
752	5230	1715
753	5232	1707
754	5235	1698
755	5238	1690
756	5242	1682
757	5244	1674
758	5246	1665
759	5249	1657
760	5253	1649
761	5276	1648
762	5280	1640
763	5283	1632
764	5291	1625
765	5294	1617
766	5299	1609
767	5301	1601
768	5307	1594
769	5316	1587
770	5341	1586
771	5379	1588
772	5383	1580
773	5386	1572
774	5423	1574
775	5594	1614
776	5597	1606
777	5607	1600
778	5676	1610
779	5683	1603
780	5687	1594
781	5690	1586
782	5698	1579
783	5706	1572
784	5714	1565
785	5783	1574
786	5800	1569
787	5804	1561
788	5815	1555
789	5834	1550
790	5842	1543
791	5852	1536
792	5902	1540
793	5912	1533
794	5917	1525
795	5924	1518
796	5928	1509
797	5932	1501
798	5937	1493
799	5943	1485
800	5999	1490
801	6003	1482
802	6006	1473
803	6011	1465
804	6016	1457
805	6020	1449
806	6024	1440
807	6029	1432
808	6062	1431
809	6078	1425
810	6087	1418
811	6092	1410
812	6128	1409
813	6135	1402
814	6138	1393
815	6140	1384
816	6142	1375
817	6146	1367
818	6168	1363
819	6191	1359
820	6218	1355
821	6345	1374
822	6350	1365
823	6352	1356
824	6355	1348
825	6366	1341
826	6372	1333
827	6379	1325
828	6395	1319
829	6402	1311
830	6411	1303
831	6418	1296
832	6424	1288
833	6430	1279
834	6435	1271
835	6439	1263
836	6452	1256
837	6457	1248
838	6460	1239
839	6464	1231
840	6467	1222
841	6487	1217
842	6491	1208
843	6497	1200
844	6500	1192
845	6504	1184
846	6511	1176
847	6514	1167
848	6519	1159
849	6522	1150
850	6532	1143
851	6537	1135
852	6545	1128
853	6548	1119
854	6552	1111
855	6557	1103
856	6561	1094
857	6565	1086
858	6568	1078
859	6574	1070
860	6579	1062
861	6582	1053
862	6592	1046
863	6597	1038
864	6600	1030
865	6605	1022
866	6608	1013
867	6613	1005
868	6616	997
869	6620	989
870	6622	980
871	6630	973
872	6635	965
873	6642	957
874	6647	949
875	6652	941
876	6665	934
877	6669	926
878	6677	919
879	6684	911
880	6686	903
881	6708	897
882	6712	889
883	6716	881
884	6724	873
885	6730	865
886	6739	858
887	6744	850
888	6755	843
889	6760	835
890	6763	827
891	6765	819
892	6767	810
893	6769	802
894	6770	794
895	6772	786
896	6777	778
897	6783	770
898	6787	762
899	6794	754
900	6798	746
901	6801	738
902	6811	731
903	6816	723
904	6826	716
905	6839	709
906	6844	701
907	6848	693
908	6850	685
909	6856	678
910	6865	670
911	6868	662
912	6872	654
913	6874	646
914	6876	638
915	6883	631
916	6887	623
917	6897	616
918	6901	608
919	6906	600
920	6908	592
921	6912	584
922	6919	577
923	6926	569
924	6930	561
925	6933	554
926	6939	546
927	6944	538
928	6954	531
929	6964	524
930	6970	516
931	6973	508
932	6977	501
933	6987	493
934	6995	486
935	7001	478
936	7007	471
937	7014	463
938	7020	456
939	7025	448
940	7027	440
941	7032	433
942	7034	425
943	7037	417
944	7040	409
945	7042	402
946	7050	394
947	7056	387
948	7065	379
949	7070	372
950	7082	364
951	7087	357
952	7098	350
953	7101	342
954	7110	335
955	7114	327
956	7116	319
957	7121	312
958	7124	304
959	7127	296
960	7129	289
961	7131	281
962	7134	274
963	7139	266
964	7143	259
965	7147	251
966	7156	244
967	7161	236
968	7164	229
969	7173	221
970	7177	214
971	7180	206
972	7188	199
973	7198	192
974	7202	184
975	7216	177
976	7222	170
977	7232	162
978	7237	155
979	7239	147
980	7250	140
981	7261	133
982	7265	125
983	7268	118
984	7270	110
985	7275	103
986	7280	95
987	7286	88
988	7296	81
989	7301	73
990	7310	66
991	7316	59
992	7324	51
993	7329	44
994	7332	36
995	7336	29
996	7338	22
997	7340	14
998	7343	7
999	7347	0
